"season","week","manager_1","owner_id_1","score_1","result_1","manager_2","owner_id_2","score_2","result_2"
"2025","11","Danthecan","517079980760150016","143.42","W","Pnewport","694581224353632256","141.72","L"
"2025","11","steeeeeeeeeve","1002342256092762112","132.42","L","jackpotFTW","559132295743279104","158.94","W"
"2025","11","PhillyBooBird","559133018459394048","128.02","W","THESMASH","559193893851738112","120.04","L"
"2025","11","ComradeCMP","559210519766609920","81.18","L","etmoyer","559135658332524544","150.2","W"
"2025","11","RJRJRJ123","517080755628453888","136.66","W","Mummanator","560265743531290624","132.52","L"
"2025","12","Danthecan","517079980760150016","168.92","W","RJRJRJ123","517080755628453888","113.24","L"
"2025","12","steeeeeeeeeve","1002342256092762112","167.6","W","etmoyer","559135658332524544","90.16","L"
"2025","12","PhillyBooBird","559133018459394048","132.0","W","jackpotFTW","559132295743279104","112.78","L"
"2025","12","ComradeCMP","559210519766609920","111.98","L","THESMASH","559193893851738112","127.74","W"
"2025","12","Pnewport","694581224353632256","147.0","L","Mummanator","560265743531290624","171.94","W"
"2025","13","Danthecan","517079980760150016","161.1","W","PhillyBooBird","559133018459394048","158.16","L"
"2025","13","steeeeeeeeeve","1002342256092762112","127.64","L","THESMASH","559193893851738112","167.32","W"
"2025","13","ComradeCMP","559210519766609920","116.8","L","RJRJRJ123","517080755628453888","154.2","W"
"2025","13","etmoyer","559135658332524544","180.98","W","Mummanator","560265743531290624","124.56","L"
"2025","13","jackpotFTW","559132295743279104","115.94","W","Pnewport","694581224353632256","103.8","L"
"2025","14","Danthecan","517079980760150016","181.52","W","etmoyer","559135658332524544","166.72","L"
"2025","14","steeeeeeeeeve","1002342256092762112","161.14","W","RJRJRJ123","517080755628453888","152.2","L"
"2025","14","PhillyBooBird","559133018459394048","96.48","L","Mummanator","560265743531290624","148.2","W"
"2025","14","ComradeCMP","559210519766609920","90.62","L","jackpotFTW","559132295743279104","158.5","W"
"2025","14","Pnewport","694581224353632256","129.44","W","THESMASH","559193893851738112","114.0","L"
"2024","1","Danthecan","517079980760150016","99.56","L","THESMASH","559193893851738112","133.34","W"
"2024","1","steeeeeeeeeve","1002342256092762112","105.16","L","Pnewport","694581224353632256","141.08","W"
"2024","1","PhillyBooBird","559133018459394048","134.22","W","LukeColbeck","626798676303499264","111.48","L"
"2024","1","ComradeCMP","559210519766609920","100.66","L","etmoyer","559135658332524544","150.96","W"
"2024","1","jackpotFTW","559132295743279104","125.78","L","Mummanator","560265743531290624","131.42","W"
"2024","2","Danthecan","517079980760150016","115.7","L","Pnewport","694581224353632256","122.86","W"
"2024","2","steeeeeeeeeve","1002342256092762112","171.02","W","ComradeCMP","559210519766609920","62.5","L"
"2024","2","PhillyBooBird","559133018459394048","150.42","W","Mummanator","560265743531290624","117.08","L"
"2024","2","etmoyer","559135658332524544","92.32","L","THESMASH","559193893851738112","171.74","W"
"2024","2","LukeColbeck","626798676303499264","132.24","L","jackpotFTW","559132295743279104","150.36","W"
"2024","3","Danthecan","517079980760150016","101.1","L","steeeeeeeeeve","1002342256092762112","166.26","W"
"2024","3","PhillyBooBird","559133018459394048","93.24","L","jackpotFTW","559132295743279104","131.52","W"
"2024","3","ComradeCMP","559210519766609920","90.16","L","THESMASH","559193893851738112","127.08","W"
"2024","3","etmoyer","559135658332524544","132.76","W","Pnewport","694581224353632256","88.28","L"
"2024","3","LukeColbeck","626798676303499264","124.1","L","Mummanator","560265743531290624","150.18","W"
